question,instruction,reference_response
"I m 79 years old, female, with a pacemaker, and had a one-time horrific headache that lasted three or four days. With that I had severe nasal mucous so i thought it was the flu. I m not so sure now that it was the flu. Can you help me with that? Thank you very much.","If you are a doctor, please answer the medical questions based on the patient's description.",Thanks for your question on Chat Doctor. I can understand your concern. Headache and nasal congestion are commonly seen with sinusitis (infection and inflammation of paranasal sinuses). No need to worry about pacemaker related complications. Do steam inhalation and warm water gargles 5-6 times a day. Chat Doctor. If it recurs again then consult ENT doctor for endoscopic examination of sinuses. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks.
"hi, a 3 yr old son have a swelling in his right side temporal bone which grows gradually after the injury which was occur 2 wks ago.it is non tender and not firm.what would be the diagnosis and how would i characterize the swelling in the physical examination","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The swelling could be because an inflammatory origin due to the impact during trauma, or it can be secondary to a fractured bone. Nothing to be panic, consult an oral physician and get a radiograph done like PNS or PA view to rule out any fractured bone. Meanwhile, you can give cold and hot fomentation over the swelling alternatively every 10 seconds for 1-2 minutes. I hope my answer will help you, take care."
"I have an odd rash on my lower stomach about where my bra sits, underneath it, and its starting to spread to my stomach, near my shoulders and on my back.  I have had this rash for about 6 months now.  It itches, but is not raised.  Its splotchy and circular.  They appear to grow larger and connect over time.  The color is a faded reddish pink.  I am allergic to anything with sent or dye in them, but have not switched detergent, perfume or anything that comes in contact with that area.  I was wondering what this might be and if I should be worried.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, As per your descriptions it seems to be a Tina corporal or tricolor, a topic dermatitis, psoriasis, impetigo or herpes or candidiasis. You can undergo routine blood investigations with skin swab tests from the itch area for culture microscopic examination. Treatment is mainly depended on the diagnosis, but you may require topical corticosteroid(clobetasol or beclomethasone) with antifungal cream (fluconazole or itraconazole) with other supportive treatment. You must consult skin specialist for complete clinical examination. Thanks and take care"
"Hello and thank you all who have been helping my wife with me and my adema situation. We are lost yes I have all the symptoms of heart failure, but yesterday my cardialogist did a echo test and stress test he said I am fine with no heart problems. What else could be causing all this water weight and weight gain. I have gained over 50 pounds in less then two months. It started the day before i have back surgery and now that I had back surgery its gotton worse to wear it hurts now. I only eat once a day. I have sleep apnea and diabetes which doctor said will get better with weight loss, I have start of emphazima, high cholestrol. The pills I have taken are lasiks 120mg a day for two weeks now, percocete for pain and vicodin, I have taken provigil to stay awake, and I have two inhalers I take daily. Anyone with any suggetions or advice or clues to what this might be. thank you all so much.","If you are a doctor, please answer the medical questions based on the patient's description.","The diabetes needs to be gotten under control immediately!!!  You need to eat 4-6 SMALL meals per day--good protein, veggies and fruit.  Watch your sodium intake (especially be cautious of processed foods--canned, frozen, etc.-fresh is best).  Chat Doctor.  Watch your carbs--whole grains are best.  Diabetes can cause serious kidney damage, which can cause edema.  You're taking a high dose of diuretic--maybe a different one would work better for you."
"Hello, I am a 41 yrs old female.  55 @ 230lbs.  I woke up with a metallic taste in my mouth and the right side of my tongue numb about 7 days ago.  I read on line that it could be gum disease which I know I have but my gums and teeth do not hurt.  Now the right side of my nose & eye runs non stop.  I went to the Dr. and she put me on antibiotics but it hasnt helped... this is day three of being on them.","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The metallic taste could be because of the antibiotics like metronidazole. The other possible causes could be because of the gum infection or pus discharge. Consult an oral physician and get your teeth cleaned. IF you are taking metronidazole then your metallic taste will come down once you stop that medicines. Do saline gargling. I hope my answer will help you, take care."
"I am a 33 year old female and I have had lower back pain off and on a while but now noticed I have a grape sized lump on lower left side above buttocks.  Dr diagnosed as fatty cyst, sending me for X-Ray and have seen Chiropractor for releif, hasent helped much.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Welcome to Chat Doctor. After going through your query I think you are suffering from chronic backache. Treatment of back pain is exercises and analgesics (diclofenac SR). Sometimes strong analgesic(such as attract three times a day after meals) is required. Consulting with treating doctor is advised.  Sometimes vitamin D deficiency is the cause so get your vitamin D checked. If it is low then vitamin D supplementation(weekly with milk) can be taken. Avoid long continuous standing. Sit in a straight posture. Eat milk, fruits and green leafy vegetables daily. You need to do MRI TO RULE OUT other causes. Your fatty cyst requires no treatment. I think your query answered"
"Hi Dr,Im hema aged 24.Im trying to conceive for past 4months.I had endometrosis (chocolate cyst) and underwent Laproscopy.After that i took FEMILON to regularize my periods.After that my dr put me on clome(1st month) and anastom (next month) to start my ovulation induction.I took duphaston 10Mg (one tab a day) for 10 days after my follicular scan.I normally get my periods in 2 days after i stop taking duphaston.But this time this is my sixth day and stil i havent got my periods.Aso i have painful breast at times. Can u pls tell me what could be the reason for these?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Ms. Hemp, As you are on ovulation induction, the first thing to be suspected is pregnancy. You should take a pregnancy test with a fresh early morning sample. If it is ambiguous, go for the blood pregnancy test and a trans-vaginal sonogram and report to your consultant for further management. Your symptoms may be premenstrual as well and are not specific for an early pregnancy. Wish you success."
"hi, I was just taking a shower and noticed a sore spot on my penis . I looked at it further its a small red bump that has like a scab on the top almost like i robbed it raw on something. But i dont know how that would be possible i havnt done anything that would rub it raw. I have never had unprotected sex so i know theres no way it could be something like a sexually transmitted disease . Im just a little concerned so any input would be great thank you so much. Daniel","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. It still could be an STD as STD spreads in other ways as well along with the unprotected sex. Even kissing can lead to STD and hence it would be wise to get an STD check done. Hope I am able to answer your concerns. If you have any further query, I would be glad to help you. You just need to contact me on this below-mentioned link"
"My name is Humphrey iam a Nigerian,my son has breathing problem at birth, congenital ptosis of the eye due to cranial nerve damage or occulomotor and other developmental delays like speech impairment for instance he is six but still could not yet talk clearly. Doctors treating him in Nigeria are of divided opinions whether to do surgery of the eye or not this is because of the associated heart problem he has. Iam afraid because i read online that if left untreated it could result to astigimatism. Pls advice","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, The need for surgery depends on the degree of ptosis. In significant ptosis, it is better to correct, as, apart from cosmetic issue, it may cause abnormal head posture, astigmatism as you said, and amblyopia (here brain starts to ignore signal from that eye) from sensory deprivation. Regarding safety of surgery in heart disease, it will not be a problem unless the child have inadequate oxygen saturation or cardiac failure. Your doctor will consider all these things and get a pediatric / cardiology opinion before the procedure-so need not worry about that. Hope I have answered your question. Let me know if I can assist you further."
"My 10 yr old daughter has a severe sore throat, no swelling of the tonsils, her strep test was negative, but I noticed small red bumps behind her right tonsil, almost looks like small blisters.  She has a low grade fever, not much drainage.  Not sure if it could be a cold or allergies.  I have given her antihistamines with a decongestant.  Thanks","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Red bumps behind tonsils are mostly due to congestion caused by infection or allergy. Presence of fever indicates that there is infection. In my patients with these symptoms, I usually prescribe antibiotic like Azithromycin, Antihistamines with decongestant and antipyretic if there is fever. Dose should be adjusted as per the body weight of child. Do consider positive feedback as a credit to my work Let me know if you have any further questions."
"Dear Sir, My wife is having Blood pressure since 18 years.She is 44 years old.I have shown her to many doctors but of no use.At present she is suffering from high B.P,not getting sleep and shievering with fear tendency.Will you please suggest some good doctors in India so that I can show her. Regards, BKSingh","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Regarding your concern, I would explain that her blood pressure values could be related to primary or genetic arterial hypertension.  Anyway, I would recommend performing some blood lab tests"
"I have been having severe upper abdominal pain penetrating to my back. The pain only sets in after bedtime and is unbearable until morning when it gradually subsides. Needless to say, sleep is not a possibility. I have had an endoscopy (acute acid reflux), an HIDA test and ultrasound for gall bladder (no stones were detected, gall bladder, pancreas and liver appeared normal. The pain lasts for several nights and then I have no symptoms for 2 - 3 months. I m having an attack again now and in serious pain. Any thoughts on how to get any relief?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi! Good evening. I am Chat Doctor answering your query. The pain could be due to the acid reflux, as other factors were excluded by the investigations as noted by you. If I were your doctor, I would advise you for the following"
"I have everyday nausea, light chest pains, heart skips beats, everyday headaches, my body is weak, no energy! When I gym I get sick... Muscle pains, cramps and pains every where, sleeplessness, when I sleep I fall into such a deep sleep that I struggle to wake up! I went for numerous blood test, insomnia tests and every thing that goes with it...! Tests negative and I m getting so hopeless, please is there anything you could help me with so I can feel human again! I love sports but its a struggle!","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Well, insomnia may be difficult to treat, but there are some methods which can be used. Treatment options include behavior and lifestyle changes, medicines, and complementary medicines. You need to change your dietary habits and these include changing your sleep area or schedule, watching what and when you eat and Chat Doctor.  It's also important to keep regular bedtimes and wake times-7 days a week-and to try to avoid taking naps during the day. Prescription sleep medicines Amy also help and include diazepam and similar medications. Melatonin is a supplement which may be of help as well. In severe cases, special testing is needed.  Hope I have answered your query. Let me know if I can assist you further."
"Achalasia Cardia is what I suffer from.  It takes about two or three months and I have so much food stuck that I am losing too much weight.  Can you recommend a specialist for me? I am female, 37, 54 and range from 110 to 88 pounds.  My GI doctor has tried balloning but the muscle going to the stomach will not open.","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your question on Chat Doctor. I can understand your concern. You're all symptoms are due to worsening of Andalusia cardiac. It is due to tighten of gastroesophageal sphincter and dilatation of lower end of esophagus. Balloon dilatation of sphincter is the first step to be done in the treatment of Andalusia cardiac. Since this has been failed in your case, better to get done surgical repair of lower gastroesophageal sphincter. This is the only treatment option you are having. So consult Castro surgeon and discuss all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"2 year old female child, since birth has \""baby acne\"" on back of arms and cheeks.  Use Cetaphil wash and lotion/creams to help at direction of pediatrician.  Bumps on face are almost nonexistent these days, but the arms seem to be getting worse every day.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Dear, Welcome to Chat Doctor. Understanding your concern. As per your query your child have symptoms of baby acne on back of arms and cheeks which seems to be because of increased sensitivity of getting pigmented, clogged pores of salivary glands, and hormonal changes. Need not worry. I would suggest you to apply cream rich in Atelier acid or Comic acid. Use clindamycin gel as well. Apply aloe vera gel it will resolve. You can visit dermatologist once and can go for chemical peeling or micro abrasion if your symptoms not resolving. Take supplements rich in vitamin C. Avoid touching or pricking acne. Apply cotton dipped in tea tree oil to lighten the pigments. Use medicated sunscreen such as Tan care rich in SPF 30. Hope your concern has been resolved. Get Well Soon. Best Wishes,"
every month i have a pain in my left ovaries during my periods my doctor prescribe zerodol it works after a few hours the pain is gone but it dose not work for 24 hour and the dosage is once per day.Can i take another one for the pain and can this pain cause from the I.U.D that i have in?,"If you are a doctor, please answer the medical questions based on the patient's description.",Hi! Thanks for asking Chat Doctor. Pain during menstruation is very mucChatDoctormon in women of child bearing age.  If pain and cramps are unbearable then you can opt out for medication like analgesic on temporary basis.  Please provide me with the details of IUD IN PLACE.SUGGESTIONS
"Hi,I have a dent at the top left of my forehead where my hair line is!it was caused by someone throwing a bottle which left me with 7 stitches! This happened a few years ago but at the time the hospital never even gave me an x-Ray and just stitched me up.... This happened a few years ago, should I be worried?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi there, Sorry to hear about the bottle and the dent! The dent at this point could be due to either a defect in the skull (would have been there for years, since the injury). Or more likely due to loss of muscle and tendon tissue in that region (could be a slow progressive process)The best way to figure t out is to get some x-rays. If it is a soft tissue (tendon and muscle), then you need to go to a cosmetic surgeon who can see if anything can be done. I hope this helps! Vinay"
just had a dentist appointment about a week ago. I have braces and they broke my wire! So the back brackets dont have a wire on the bottom. Now the place I go to is Western Dental and its also a Orthodontist place. They said they couldnt fix it until my next appointment which is on December 11. What should I do? Is this bad?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, thank you for consulting with us for your problem. When you are taking an orthodontic treatment it is better to keep in touch with the dentist as these type of problems arise commonly. If the wire is broken at the time of treatment it will delay the treatment as the wire will not be able to put pressure on the teeth and there will be no effect of the treatment. It is better to consult you dentist and get it fixed because visiting other dentist will be difficult for your treatment."
"Hi Doctor,I am suffering from Urticaria since last Dec. Food allergic test conducted in your clinic on 24th Feb and in Marry Queens hospital on 30th March shows no allergic to any food except a doubtful reaction on white egg and mutton. How ever I was under full control of these items. Still the itching and hives appears always and even lead to angio edema some times with swelling of lips and difficulty in brething. I changed my BP/Cholestrol tabs which were using for the last few years. Can you please advise whether I need to undergo one more food allergy test or any other remedies.Your advice is most appreciated.ThanksSalim Shah, Trivandrum46Y, 170cm, 80Kg","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thank you for your query. I can understand your concerns. You are having Urticaria and angioedema. Causative allergens can be food as well as non-food protein. You can undergo serum IGE level & absolute eosinophil count. You can take H\u2081 antihistamines non-sedating agents such as loratadine, loratadine, and fexofenadine, or low-sedating agents such as cetirizine or levocetirizine. The addition of an H\u2082 antagonist such as sanitizing in conventional dosages may add benefit. A CysLT1 receptor antagonist such as montelukast, 10 mg/day also can be added. You have to continue for a longer period, as it may be seasonal. A short course of oral steroid (e.g. Deflazacort 6 mg daily orally for 7-10 days) helps in urticaria with eosinophil prominence, idiopathic angioedema with or without urticaria, or chronic urticaria that responds poorly to conventional treatment."
"I have a small lump on the back of my right calf. Today was first day I noticed it. It is painful and swollen. And when I stand, it protrudes. I am diabetic on an insulin pump. I had mrsa, but am clear as of this past February. Should I be worried . No amount of ibuprofen or Motrin or Advil takes pain away.","If you are a doctor, please answer the medical questions based on the patient's description.","Dear Friend. Hi, I am Chat Doctor, I have read your query in detail, I understand your concern. It might be an abscess since you are a diabetic. I would advise you to get a checkup by your doctor, if it is abscess, it might require incision and Chat Doctor. This is my personal opinion based on details available here.  If you want to discuss your issues further, you may please ask stay Healthy. Chat Doctor, MD"
"My 4 year old daughter developed 2 cancor sores in her mouth. I gave her OTC meds to try to lesson the pain. Knowing it takes a few days to heal, she still complains it hurts and will not let us brush her teeth on the side the sores are AT ALL! Though we understand these sores are very painful, we are concerned that her teeth are not clean in that area and that it could cause other more severe issues. This has gone on for about a week now. Called her pediatric dentist and they suggested a cancor rinse but we can t get her to use it. They said that s about all we can do. We are ready to call her pediatrician to have her mouth looked at. She just had 4 cavities filled so she is proned to them.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for your query. I read your problem,first I would like to inform you that authors ulcer take a time period of 10-12 days to heal completely, so nothing to get worried and continue a proper treatment with patience. The treatment options for authors ulcer are-1. Vitamin B complex.2. Topical application of gels like-mucopain, dologel, quq Chat Doctor. ....3. Maintain oral hygiene.etc........ As you said that she if having 4 filled teeth at this age, it is not a good sign, you must be more careful. Please follow following-1. Maintain oral hygiene.2.brush twice daily.3. Regular dental visits after every 6 months.4. Topical fluoride application5. Pit & fissure sealants, if needed.6. Use of fluoride containing toothpaste.etc........ nothing to get worried. Take Care."
"I am 16 year old girl. Doctors have examined me done LFT with two readings of alkaline phosphate as 98 & 130. done EUS, US & MRI. findings are multiple calculi in my gallbladder. largest one measuring 1.4*1.4 cm. what precautions can i take and what procedure can be carried out further. as such doctors have recommened another LFT and then if the alkaline phosphate level is increased then ERCP is the next step. i would like to know what according to you can be done further?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello there!  Thank you for asking. If gallbladder has stones the things we need to worry about is if it involves nearby bile duct and dilates the common bile duct and adds to the yellowish discoloration of the skin(jaundice). Also, the pancreatic profiles Serum amylase lipases amylase to lipase ratios. Alkaline phosphatase and bilirubin levels hike means that the common Bile Duct CBD is involved. And yes in that case ERCP (Endoscopic retrograde cholangiopancreatography) is the next step as it would be both diagnostic and therapeutic. Then you will be prepared for simple laparoscopic cholecystectomy/ removal of gall bladder through minimal invasive procedures Providing the anesthesiologists and general surgeons give a green signal after ruling out all the contraindications for it. As you are 16 years old only. This young age with rest of it without gall bladder might advise a conservative approach. But what your doctors decide for you will be best for you and I am sure you are in safer hands. Hope I was of some help. Take care regards Chat Doctor."
"my daughter had her 4 wisdom teeth removed 22 days ago.  Her follow up appointment went well.  Yesterday, she noticed that she has a bump on her lower jaw in the region that one of her wisdom teeth was removed.  It is painful to the tough, but hard and she has some slight swelling, but not really that noticeable.  Is this a possible infection?","If you are a doctor, please answer the medical questions based on the patient's description.",Hi thanks for your query. During tooth extraction the bone that supports the tooth is compressed to allow proper healing and to adapt bony margins. The bump what you have been explaining might be hard and sharp bone. This is because extraction to wisdom tooth is done surgically by cutting bone if necessary.is the site is infected your daughter must take a complete course of antibiotic and painkillers along with intermittent worm saline gargles. Visit your dentist check the site clinically and also get a radiograph done if necessary. Hope this is helpful.
"I had Mitral Valve prolapse since 20 yrs ago....I ve noticed that I need to think about taking long breathe....my husband told me lately that he feels I have a breathing problem because he says that he noticed I keep holding my breathe and finally letting it go with a big sigh. I get out of breathe easily.....I also have acid reflux and had it for a long time....I get mucous in my throat and I always feel that I need to cough it up....if I raise my voice, the mucous in my esophagus starts to build up and I then starts coughing to bring it up. Would the valve prolapse be associated with my breathing problem? Is it cause for alarm and should I go see my family doctor?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Dear !! Thanks for your query to Chat Doctor. Read and reviewed your query and health concerns. You seem to suffer from -HERD. The rise in the voice-increases intrathorasic pressure, which causes increased acid reflux due to similar innervation as that of pharyngo-laryngeal region by Va gal nerves. This leads to breath holding to avoid aspiration in air track. So breath holding is from HERD and not due to MVP in your case. Treat with-PPI -Prilosec(OTC) with domeperidone and treatment of causes of HERD would resolve this difficulty in the breathing. Consult with Physician and if need be ENT surgeon to treat this laryngopharyngeal breath holding caused from HERD with which to prevent mucus collection spillage in to air track, breath holding is reflex done by you. Hope this would help you to plan further care of this complex illness of yours. If need be, update any health issue 24 x 7 by a direct question to ME, at following Chat Doctor link-Dear, if satisfied, Dont forget to close this query with YOUR pleasing feedback comments to rate this reply and service, to boost the morale of incoming Emergency patients like YOU, at Chat Doctor services. If you want to update more details and ask more update queries, You are most Welcome herewith !! Good Day!! Wishing Good Healthy Life in time to come!! Chat Doctor. N. Senior Surgical Specialist. S. Genl-CVTS"
"Hello, I am 17 years old and have started feeling pains in both of my knees right now. I do play hockey on a daily basis. I have had knee problems before but nothing this bad. It seemed to go away but sometimes the pain comes back. Before I described it as my muscles feeling like they are pulling apart, but my dad said that it probably isn t a muscle problem. Now throughout the pain, the pain isn t here but sometimes when I move it, it feels like something is pulsating in my knees.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, In my opinion the pulsating feeling means that your knees are inflammation or swollen hat makes you feel the pulsation of your veins. For now cold comments and after exercises with topical massaging will be helpful if pain persist. I suggest you ask your physician for some investigations and proper evaluation. Please consider positive feedback if the information was helpful. Hope the above information helps you, Any further clarifications feel free to ask."
"If i was sent to the emergency room because of high blood pressure and given medicine on a drip, which fixed me up. Then after about an hour or so i was giving another dose of some other medicine as i was being prepped to go to a private room. I started complaining about feeling nausea and light headed. Then my arms went tingling, next my hands clamped shut and continued constricting. The rapid response team came in. My face went numb, i became incoherent and sweating perfusely. Ok my question is, was that second injection the cause of my relapse?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello ! I read your question and understand your concern. I would like to know the name of the Chat Doctor.  In my opinion the symptoms you describe may be related to a possible Transient ischemic attack, which is caused by a low blood flow to the brain or a seizure, a type of Epilepsy. I don't think the injection has been the cause. Because a Transient ischemic attack can be preceded by hypertension. I would recommend a brain MRI, a cardiologist consult to find out the causes in case of a possible transient ischemic attack. An EEG would be very helpful in case of a seizure suspicion. Hope to have been helpful! Thank you for using Chat Doctor! Best wishes"
"Possible strept throat my fiances throat is swollen and she is unable to eat since wednesday.  This morning she called and said she is still unable to eat and her throat is still swollen.  What can we do for her at home?  I dont know if she is running a fever or not, but I am wondering if she needs antibiotics at thid point.","If you are a doctor, please answer the medical questions based on the patient's description.","**1. Since possible infection is suspected thus examination with ENT doctor is necessary for evaluation of swollen tonsils and lymph nodes in the neck.PS. It is rare for streptococcus bacteria to invade the larynx, thus can be safely excluded2. It will be good to have examination since the bacteria can travel from throat to middle ear through Eustachian tube, as such ENT doctor can prescribe you specific medicine [antibiotic] or even go for swab culture.PS. other complications which though possible but rare are"
I m asking this question for my mother. She is 67 yr s old she weighs about 169 lbs. Her BP this morning was 146/110 but when she takes her BP medication the upper # of her BP comes down slightly but her lower # goes down to between 50 - 30 s. What s going on?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, This occurs due to age related changes like hardening of blood vessels. There is no focus and worry about lower BP, it's not that important. The blood pressure should be less than 140/90 MMH. Even the lower BP goes below 50 it's not a matter of worry, but upper one should be controlled.  She should have a healthy lifestyle like avoiding fatty, oily and high calorie diet. Have low salt diet and monitor blood pressure regularly thrice a day for one week then once or twice a week. Regular exercises like brisk walking, jogging according your capacity at least 30 min a day and 5 days a week. Lots of green leafy vegetables, fruits, fish once or twice a week, avoid meat. There shouldn't abdominal fat deposition or obesity. Get your lipid profile and sugars tested once."
"I am having several issues and am concerned.  I have electrical zaps like a short in my brain, a headache behind my left eye that travels over my head to the base of my neck, I am sweating profusely, lightheaded, have difficulty sleeping, fatigued and have difficulty breathing.  I am on high blood pressure medications","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thank you for posting your query. I have noted your complaints and can understand your discomfort on account of these electric-shock like sensations. If these symptoms are due to sudden with Chat Doctor. If these do not decrease or go away soon, then, we should also investigate for alternate causes. This would require doing an MRI scan of brain and EEG. I hope my answer helps. Please get back if you have any follow-up queries or if you require any additional information. Wishing you good health,"
"itchy rash , first thought it was bug bites since we had gone camping in NY. Appeared on legs and arms first, starts as red raised spot (liek bite) but when you scratch it, more reddish bumps appear, sometimes intensely itchy, more at night, keeps me from sleeping. Also the rasChatDoctores and goes, I tried anti itch cream and it gets better but then will appear soemwhere else. Anytime a clothing seam pressea into skin, little itchy bumps appear along it, then it spreads when you scratch it. Started on upper arms, lower legs, then on thigs, and then started appearing in groin area and between thigs. It also caused bruising on my thigs, and i haven t scratched THAT much. What can cause this?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, It seems that you may be having purity simplex. There may be some cause. There is multiple, intensely itchy Paulo vesicular lesions on extremities and trunk. Stress, sun rays, cosmetics,insects, dust,soap, clothes,deodorants...etc. can cause the disease. Avoid tension and worries. Avoid soap bath, you may take detail liquid. Anti histamines may relieve itching. Steroid in tampering dose may improve the condition. If there is infection, take antibiotics. However, consult dermatologist. I hope you got my answer. Thanks."
"Sir/mam I have am doubt abt femilon contraceptive pill ..I got married on Oct 28th and I had sex after one month..and now I want to prevent pregnancy,so I used femilon for one week .and now I didn t get my regular periods..is pregnancy confirmed ?? Wat to do now and how to prevent it ..please send ne ur valuable answer for me..am waiting for ur reply please sir","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Having menstruation in 35 days after last menstrual period is considered normal. Oral contraceptive pills should be taken for 28 days(including 7 iron tab).  As you had unprotected sex (incomplete OC pill) and amenorrhea so do Urine pregnancy test.It'll show your pregnancy status. If positive then visit a gone clinic. If negative then take OC pill regularly .if u miss any day then take double dose next day. If misses2cosequetive day then take other contraception like condom. Thanks n regards"
"Hi, i am 28yrs old and have a 3 and a half yr old son! April of 2010 i suffered an actopic pregnancy resulting in my right tube being removed! we have since been TTC with no luck! we went an seen a specialist 2months ago where i was perscribed Clomid 50gm! im now in my second Month on clomid i finally got tested positive 5 days straight for ovualtion using the dip stick method! A week after ovulation i spotted very lightly for a day an ahalf only showing when i wiped myself! I am now 2 and a half weeks(day 45 of my cycle) late for my period , have done 3 pregnancy test all negative but am now testing positive to ovualtion again??? At the time of Ovualtion last month i did become quite sick with flu symptons so thinkin maybe this stopped me ovualting or something?? since the ectopic my periods have not been regular latest being 35days though! Before the ectopic i has 28days on time every month! The specialists and doctors say my other tube looks fine and are very confident that we will afll again on our own but suggested Clomid to speed the process up!! My main concern is what the hell is goin on with my body this month, im so confused and want to start a fresh month with clomid but when my period doesnt want to show it makes life hard! I have also been having pretty bad headaches over the last week and feelin bloated and tired! Thanks","If you are a doctor, please answer the medical questions based on the patient's description.",Hello. Are u sure you are not testing pregnancy on diluted urine samples? You have to check pregnancy on early morning urine sample.  As you said u had cough ang cold and might had your ovulation delayed. Sometimes when there is a pregnancy also due to hormonal change you get positive test for ovulation. Best thing is you get your blood tested for beta Chat Doctor and intrauterine pregnancy as soon as possible due to the past history of ectopic pregnancy.
"i am 15 years old and i weigh 220 pounds, about two years previous i would randomly feel really dizzy and my vision would blur around the edges. Id get really weak and all shaky to the point where i couldn t hold myself up and i would have to sit down. It happened a couple of times but stopped and it hasnt happened to me since then until now. I m kind of scared because this time was worse than all the rest. I don t know what to do.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, There can be many causes of dizziness and weakness. We need to have a detailed history and examination of it.  One of the most common causes is diseases associated with ear like labyrinthine (infection of the ear), vestibular neuritis (inflammation of the nerves), or BPPV (benign positional vertigo).  It can also be related to diseases of the brain (infection or swelling) or heart disorders (arrhythmia-rhythm disturbances) or cervical spondylosis (neck posture-related issues). Besides this, there are simpler causes like anemia (low hemoglobin), hypoglycemia (low sugar) stress, anxiety, or lack of proper sleep.  Sometimes hormonal disorders(especially thyroid-related problems) or vitamin deficiencies can also be responsible. Hence, I feel, first, focus on lifestyle modifications.  Have a well-balanced diet with lots of fruits and vegetables and less tea and coffee. Maintain proper posture while working and sleeping, take good sleep for 7-8 hours.  Try to find time to go for a walk or exercise and try to reduce weight. If still the symptoms persist then do go for some investigations like-complete blood count, sugar levels, electrolytes, TSH, ECG, X-ray cervical spine and MRI brain. If possible do get your vitamin and vitamin b12 levels checked. This will help us to make a proper diagnosis. Hope I have answered your query. Let me know if I can assist you further. Take care"
"I am a chronic hepatitis B patient and on anti-retroviral medication, I am also suffering from allergy related cough and cold and asthma with heavy chest conjestion. Can I take Montek LC on a regular basis as that helps to fight against allergies. Does it have any side effect on my liver.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, It can be taken with careful monitoring of liver function tests. Monteagle is a combination anti-histamine Chat Doctor.  Montelukast is known to cause liver injury in patients with underlying liver disease such as hepatitis or those who consume alcohol. However, no dosage adjustment is required in patients with mild-to-moderate liver disease. Monek-LC can be taken with careful monitoring of liver function tests and any early signs of liver injury like fever, abdominal pain, vomiting or jaundice should be reported to your treating doctor after stopping the treatment. Hope I have answered your query. Let me know if I can assist you further."
"Hi.... my name is ikml.ed from pakjnk,. i am a patient of tetralogy of fallot ...by birth ...i spent my whole life without using any medicine for my heart disease.... cause of my life style and  high moral level....but doctor  now i am encountered by polycythemia from last 9th month cause of high smokingi visited my heart spacialist  but they do nothing.....now doctor the level of hemoglobin in blood is 22.6......i am fadeup of donating blood but the hemoglobin level is not normalizing..... Dr cure, is there any treatment or cure ......dr. i have lost my hope and also fadeup of my life....","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, hey dear. No need to fade up. You are a tough guy, and you are living with TOF without taking any treatment suggest you have very high moral. Treatment option of polycythemia are somewhat difficult, chemotherapy can help you. But till you search other options you should go for phlebotomy. Phlebotomy is the most easy and economic treatment for polycythemia. Consult hematologist and take treatment accordingly. Thanks for using Chat Doctor."
My wife was hospitalized for 3 days for dengue (Rash all over and joint aches but no fever) She tested positive in IGM and negative in IGG & Antigen. She was discharged 1 week back. Day by day her joint aches have returned and she particularly finds the ache in the bone leading from neck to mid chest (ribs?) unbearable. The doctor has prescribed Ultracet for aches today (twice a day) but she has no relief. Can you suggest an alternative?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Welcome to Chat Doctor. If she tested positive for IGM, it is acute infection of Dengue. Dengue is a viral infection caused by mosquito bite and is characterized by headache, fever, rash and joint pains. The joint pains will take some time to reduce at least 3-4 weeks. Attract is good enough for the pain. She can take the medications three times daily instead of twice a day. Adequate rest and local application of analgesic gel would help to some extent. Wishing her a speedy recovery. Thanks."
